contract_decimals,contract_name,contract_ticker_symbol,contract_address,supports_erc,logo_url,quote_rate,rank
8,"ENTONE","ENTONE","0xec1a718d1a6f8f8d94ecec6fe91465697bb2b88c",,"https://logos.covalenthq.com/tokens/0xec1a718d1a6f8f8d94ecec6fe91465697bb2b88c.png","0.08071991",10000
18,"AXION","AXN","0xda4c5aea122260e70616e979592735f12fe20499",,"https://logos.covalenthq.com/tokens/0xda4c5aea122260e70616e979592735f12fe20499.png",0,10000
0,"502 Bad Gateway Token","Z502","0x2cd9324ba13b77554592d453e6364086fbba446a",,"https://logos.covalenthq.com/tokens/0x2cd9324ba13b77554592d453e6364086fbba446a.png","0.0008744657",10000
8,"EtheremonToken","EMONT","0x95daaab98046846bf4b2853e23cba236fa394a31",,"https://logos.covalenthq.com/tokens/0x95daaab98046846bf4b2853e23cba236fa394a31.png","1.0347184",10000
18,"NIRVANA","VANA","0x790baf0c914898c62163a61f150637d4bd180697",,"https://logos.covalenthq.com/tokens/0x790baf0c914898c62163a61f150637d4bd180697.png","0.23305894",10000
18,"ProStarter","PROT","0x2341dd0a96a0dab62aa1efb93d59ff7f3bdb8932",,"https://logos.covalenthq.com/tokens/0x2341dd0a96a0dab62aa1efb93d59ff7f3bdb8932.png","0.35453448",10000
18,"PHI Token","PHI","0x13c2fab6354d3790d8ece4f0f1a3280b4a25ad96",,"https://logos.covalenthq.com/tokens/0x13c2fab6354d3790d8ece4f0f1a3280b4a25ad96.png","0.024136834",10000
18,"Eristica TOKEN","ERT","0x92a5b04d0ed5d94d7a193d1d334d3d16996f4e13",,"https://logos.covalenthq.com/tokens/0x92a5b04d0ed5d94d7a193d1d334d3d16996f4e13.png","0.0003956858",10000
18,"thx! token","THX","0xa98ed1fd277ead2c00d143cbe1465f59e65a0066",,"https://logos.covalenthq.com/tokens/0xa98ed1fd277ead2c00d143cbe1465f59e65a0066.png","0.07913716",10000
18,"VidyCoin","VIDY","0xc77b230f31b517f1ef362e59c173c2be6540b5e8",,"https://logos.covalenthq.com/tokens/0xc77b230f31b517f1ef362e59c173c2be6540b5e8.png","0.002433468",10000
18,"Street Cred","CRED","0xed7fa212e100dfb3b13b834233e4b680332a3420",,"https://logos.covalenthq.com/tokens/0xed7fa212e100dfb3b13b834233e4b680332a3420.png","0.25759146",10000
